nClusters,dist,PCA,nTopics,silhouetteValue,Acc_FirtsPartyWinner,Acc_IssueArea
17,2.552787220147727,12,22,0.20267164948849917,0.04511050560096882,0.061156524371783226
18,2.5520196142170786,12,22,0.1930183793894137,0.04511050560096882,0.058734483802603696
19,2.498617444097718,12,22,0.1850665495239316,0.04511050560096882,0.05843172873145625
2,4.516818159023625,17,22,0.04796572753587936,0.6221616712079927,0.04874356645473812
3,4.203554132068887,17,22,0.0631108550136778,0.48107780805328487,0.05116560702391765
4,4.171124590478921,17,22,0.07262165958835554,0.40084771419921283,0.06630336058128973
5,4.039077538903649,17,22,0.07854942511186613,0.40084771419921283,0.10656978504389948
6,3.809455691636211,17,22,0.09538297138465242,0.11565243717832274,0.14047835301241296
7,3.6895779461308913,17,22,0.10119661199540649,0.09930366333636088,0.1362397820163488
8,3.6614314989060275,17,22,0.10788142431264587,0.09930366333636088,0.16076294277929154
9,3.647819814500226,17,22,0.11623341029419207,0.09900090826521345,0.15289131092945807
10,3.539410759502471,17,22,0.11497955678457612,0.09234029669996972,0.15289131092945807
11,3.5238542362013994,17,22,0.12525163982851728,0.09234029669996972,0.1531940660006055
12,3.4943960510068965,17,22,0.14066432093001807,0.09234029669996972,0.08900999091734786
13,3.3120976006821032,17,22,0.1566478181474152,0.09234029669996972,0.0841659097789888
14,3.288068576200603,17,22,0.16376004530196064,0.09234029669996972,0.05479866787768695
15,3.2518779873227848,17,22,0.19635112067177474,0.09234029669996972,0.04147744474719951
16,3.112352718090334,17,22,0.20133886448899943,0.09234029669996972,0.04147744474719951
17,2.9932817164425596,17,22,0.202099288824552,0.09234029669996972,0.04147744474719951
18,2.991003773531616,17,22,0.2199067048790197,0.06448683015440508,0.0384498940357251
19,2.978478376705908,17,22,0.2122026232911686,0.06448683015440508,0.03572509839539812
2,4.6130543723544095,22,22,0.0740879838028069,0.5410233121404784,0.0784135634271874
3,4.260584808492804,22,22,0.07222835005561694,0.42204056917953375,0.05116560702391765
4,4.217015141496446,22,22,0.07893975455747883,0.34120496518316684,0.06660611565243718
5,4.138322997717467,22,22,0.08153992075608894,0.3409022101120194,0.1080835603996367
6,4.012789865588566,22,22,0.10026455192337853,0.13745080230093853,0.10596427490160461
7,3.7729661986252347,22,22,0.10378973369507856,0.1256433545261883,0.10475325461701483
8,3.7592939203278806,22,22,0.09936785655576126,0.11656070239176507,0.1111111111111111
9,3.7250181729918435,22,22,0.11617976927035181,0.11625794732061762,0.12352406902815623
10,3.6447530690850685,22,22,0.131026260446635,0.11625794732061762,0.13169845594913715
11,3.6099042681600295,22,22,0.14379326604807685,0.11625794732061762,0.05964274901604602
12,3.5953459944831354,22,22,0.14927463236275373,0.11625794732061762,0.056917953375719046
13,3.47955508601623,22,22,0.16265507155113354,0.11625794732061762,0.05267938237965486
14,3.4122144850894154,22,22,0.17144352835830054,0.11625794732061762,0.05782621858916137
15,3.2706558296419157,22,22,0.1766957571498218,0.11625794732061762,0.056009688162276715
16,3.216974740625174,22,22,0.19743471692947592,0.11625794732061762,0.05510142294883439
17,3.21284179595216,22,22,0.19858698065305289,0.11625794732061762,0.05449591280653951
18,3.2101993728625255,22,22,0.2211965138887418,0.06690887072358462,0.04783530124129579
19,3.156029468367024,22,22,0.2256705407647364,0.06690887072358462,0.04783530124129579
2,1.4083915017533128,2,27,0.425306895874307,0.5958219800181653,0.06902815622161672
3,1.2379713157074808,2,27,0.46523130347755237,0.5712988192552225,0.06872540115046927
4,0.9107770920608049,2,27,0.3946472394672371,0.5155918861640932,0.04874356645473812
5,0.8996267338569286,2,27,0.33831696758482277,0.5155918861640932,0.05025734181047532
6,0.7834119557896186,2,27,0.44448182760625565,0.45806842264607933,0.05903723887375113
7,0.670714828889973,2,27,0.43762833033004805,0.45806842264607933,0.060551014229488345
8,0.6219138826327024,2,27,0.42583762188892677,0.45806842264607933,0.07326672721768089
9,0.6199193746251025,2,27,0.40346255780668755,0.3505903723887375,0.07387223735997578
10,0.5724872701103683,2,27,0.4034478482994512,0.3505903723887375,0.07266121707538602
11,0.5448887272443543,2,27,0.3940788299345035,0.3505903723887375,0.07508325764456554
12,0.5254980952064006,2,27,0.38872613152982205,0.3505903723887375,0.07720254314259764
13,0.508177258084395,2,27,0.42468069240119627,0.18982742960944596,0.10899182561307902
14,0.44525785086455516,2,27,0.42384859037243705,0.18982742960944596,0.10899182561307902
15,0.4327839157024107,2,27,0.42511657736455694,0.18982742960944596,0.10899182561307902
16,0.42366306907298124,2,27,0.42428485528590254,0.18982742960944596,0.10656978504389948
17,0.41348500649356285,2,27,0.42268707436208286,0.18982742960944596,0.10566151983045716
18,0.4016139017402156,2,27,0.41679386333593127,0.18982742960944596,0.10475325461701483
19,0.3957615783698565,2,27,0.39548735756397224,0.18982742960944596,0.10384498940357251
