tree1,tree2,dist
3323,3408,0.0007802411014099647
330,755,0.0007810342781103263
433,595,0.0007822717363985612
3709,2634,0.0007824331693006038
1963,3007,0.0007825027280746813
3477,2346,0.0007837375511755007
3414,3916,0.0007844590991542624
3561,4011,0.0007851588265119398
2626,3104,0.0007852078970618029
3549,3586,0.0007875244732258261
801,1000,0.0007895435040230613
2083,3049,0.000790067385288756
229,645,0.0007927447510026123
388,2991,0.0007935225608137475
3317,3693,0.0007954911187422718
1403,1644,0.0007996957082379609
3526,1605,0.0008005266607709199
4021,3926,0.0008012475344805533
617,3604,0.0008042844315616308
3943,3438,0.0008044462028231284
365,3661,0.0008071317418127683
3791,3467,0.0008077094797623689
3584,2935,0.000808513183646822
258,1613,0.0008103038839751137
3714,3598,0.0008114121449143297
3949,2510,0.0008119683706632706
3577,1692,0.0008126805357474669
454,3799,0.000813141462545644
3874,3217,0.0008143015308655702
1541,3153,0.0008156316840044961
322,472,0.0008174789720846853
385,3732,0.0008178918939050345
3345,3666,0.000818368292987575
202,3368,0.0008192317328935689
591,1169,0.0008200824299985088
3761,3844,0.0008201925999915156
1109,3691,0.0008219032637580663
3618,1088,0.000822337015161643
3948,3421,0.0008234665908262127
4110,3356,0.0008264336019888595
1611,1931,0.0008272654186140711
226,3343,0.000829295018347
3860,1117,0.0008302103626062016
966,1027,0.0008303905722541246
1355,3969,0.0008304860835780699
1348,2967,0.0008325649990421798
820,1763,0.0008331300731552402
1165,2481,0.0008346166655286286
2055,2940,0.000835494162973776
616,930,0.0008355319475745471
374,440,0.0008361777951162927
3658,3669,0.0008428379252136981
308,3095,0.000843374277999881
279,465,0.0008475971788875283
676,2826,0.0008480097885954323
2498,2670,0.0008483295200420911
548,2119,0.0008514707066835069
425,2324,0.0008532459838937502
1631,3067,0.000854888336111137
1508,2580,0.0008560784313115764
38,3243,0.000856469705544996
4026,2593,0.0008571383170534255
2309,3124,0.0008590375281266119
2376,3092,0.0008607582949564062
3882,3818,0.0008612628331485933
209,1784,0.0008633518642273911
4004,384,0.000866173538778962
1161,3977,0.0008664461021662649
351,1415,0.0008682986822544448
3646,3364,0.000868913411426326
312,2860,0.0008693224227629519
3491,3898,0.0008700310836910214
3411,1404,0.0008730876163808195
3667,160,0.0008738017746839008
3422,3228,0.0008746709569512744
1150,1749,0.0008748874217010885
1032,2786,0.0008752407867229726
